Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SIN CHUAN GARDEN,"5,400,000","3,457.4","1,562",Sep-25,WARINGIN WALK,Resale,Land,321.2,"16,812",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,650,000","2,327.18","2,428",Sep-25,JOO CHIAT PLACE,Resale,Land,216.2,"26,133",-,Terrace House,1,Freehold,15,Rest of Central Region,-
SERANGOON GARDEN ESTATE,"3,588,000","1,839.57","1,950",Sep-25,CONWAY GROVE,Resale,Land,170.9,"20,995",-,Terrace House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
SEMBAWANG SPRINGS ESTATE,"4,500,000","4,005.28","1,124",Sep-25,JALAN KEMUNING,Resale,Land,372.1,"12,094",-,Semi-Detached House,1,999 yrs lease commencing from 1885,27,Outside Central Region,-
FANTA GARDEN,"7,200,000","6,980.45","1,031",Sep-25,BEGONIA DRIVE,Resale,Land,648.5,"11,103",-,Terrace House,1,Freehold,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,330,000","2,966.56","1,797",Sep-25,HILLSIDE DRIVE,Resale,Land,275.6,"19,340",-,Semi-Detached House,1,999 yrs lease commencing from 1876,19,Outside Central Region,-
PARRY GREEN,"2,788,888","1,619.98","1,722",Sep-25,LIMBOK TERRACE,Resale,Land,150.5,"18,531",-,Terrace House,1,99 yrs lease commencing from 1996,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"10,688,888","11,745.68",910,Sep-25,JALAN HAJIJAH,Resale,Land,"1,091.2","9,796",-,Detached House,1,Freehold,16,Outside Central Region,-
MANDARIN PARK,"4,652,888","2,061.31","2,257",Sep-25,YUK TONG AVENUE,Resale,Land,191.5,"24,297",-,Terrace House,1,Freehold,21,Rest of Central Region,-
KEMBANGAN ESTATE,"5,075,000","3,587.64","1,415",Sep-25,LORONG MELAYU,Resale,Land,333.3,"15,227",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"9,388,000","4,290.53","2,188",Sep-25,GOODMAN ROAD,Resale,Land,398.6,"23,552",-,Semi-Detached House,1,Freehold,15,Rest of Central Region,-
FRANKEL ESTATE,"11,000,000","6,003.08","1,832",Sep-25,SIGLAP PLAIN,Resale,Land,557.7,"19,724",-,Detached House,1,Freehold,15,Outside Central Region,-
BAN GUAN PARK,"8,180,000","3,374.51","2,424",Sep-25,GREENLEAF PLACE,Resale,Land,313.5,"26,093",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"6,050,000","3,089.27","1,958",Sep-25,CARPMAEL ROAD,Resale,Land,287,"21,080",-,Terrace House,1,Freehold,15,Rest of Central Region,-
FRANKEL ESTATE,"11,600,000","6,986.91","1,660",Sep-25,SIGLAP HILL,Resale,Land,649.1,"17,871",-,Detached House,1,Freehold,15,Outside Central Region,-
SEMBAWANG HILLS ESTATE,"3,128,000","1,500.5","2,085",Sep-25,CASUARINA ROAD,Resale,Land,139.4,"22,439",-,Terrace House,1,Freehold,20,Outside Central Region,-
FUYONG ESTATE,"1,680,000","5,119.36",328,Sep-25,JALAN UJI,Resale,Land,475.6,"3,532",-,Detached House,1,99 yrs lease commencing from 1947,23,Outside Central Region,-
OPERA ESTATE,"3,400,000","1,599.53","2,126",Sep-25,METROPOLE DRIVE,Resale,Land,148.6,"22,880",-,Terrace House,1,Freehold,15,Outside Central Region,-
PEAKVIEW ESTATE,"6,000,000","3,304.55","1,816",Sep-25,JALAN PARI DEDAP,Resale,Land,307,"19,544",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"30,288,000","19,439.78","1,558",Sep-25,CORNWALL GARDENS,Resale,Land,"1,806","16,771",-,Detached House,1,Freehold,10,Core Central Region,-
SENNETT ESTATE,"3,600,000","1,498.35","2,403",Sep-25,KEE CHOE AVENUE,Resale,Land,139.2,"25,862",-,Terrace House,1,Freehold,13,Rest of Central Region,-
MOUNT SINAI,"10,500,000","4,566.09","2,300",Sep-25,MOUNT SINAI DRIVE,Resale,Land,424.2,"24,752",-,Semi-Detached House,1,999 yrs lease commencing from 1885,10,Core Central Region,-
