town,flat_type,block / building,street_name,storey,floor_area_sqm,flat_model,lease_commence_date,rental_date,property_type
"Raffles Place, Cecil, Marina, People's Park",EXECUTIVE,MARINA ONE RESIDENCES,MARINA WAY,11,147.0,Apartment,2011,2025-09-01,Condo / Private Apartment
"Queenstown, Tiong Bahru",3 ROOM,RIVER PLACE,HAVELOCK ROAD,06,74.0,Condominium,1995,2025-09-01,Condo / Private Apartment
"Pasir Panjang, Hong Leong Garden, Clementi New Town",3 ROOM,KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,01,60.0,Apartment,2018,2025-09-01,Condo / Private Apartment
"Raffles Place, Cecil, Marina, People's Park",4 ROOM,THE SAIL @ MARINA BAY,MARINA BOULEVARD,36,82.0,Apartment,2002,2025-09-01,Condo / Private Apartment
"Pasir Panjang, Hong Leong Garden, Clementi New Town",4 ROOM,WEST BAY CONDOMINIUM,WEST COAST CRESCENT,01,84.0,Condominium,1991,2025-09-01,Condo / Private Apartment
"Pasir Panjang, Hong Leong Garden, Clementi New Town",EXECUTIVE,HUNDRED TREES,WEST COAST DRIVE,06,137.0,Condominium,1928,2025-09-01,Condo / Private Apartment
"Queenstown, Tiong Bahru",2 ROOM,STIRLING RESIDENCES,STIRLING ROAD,06,41.0,Apartment,2017,2025-09-01,Condo / Private Apartment
"Pasir Panjang, Hong Leong Garden, Clementi New Town",3 ROOM,PARC RIVIERA,WEST COAST VALE,26,60.0,Condominium,2015,2025-09-01,Condo / Private Apartment
"Telok Blangah, Harbourfront",4 ROOM,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,01,109.0,Condominium,2006,2025-09-01,Condo / Private Apartment
"Queenstown, Tiong Bahru",2 ROOM,QUEENS PEAK,DUNDEE ROAD,11,40.0,Condominium,2015,2025-09-01,Condo / Private Apartment
"Queenstown, Tiong Bahru",4 ROOM,QUEENS,STIRLING ROAD,06,85.0,Condominium,1998,2025-09-01,Condo / Private Apartment
"Queenstown, Tiong Bahru",4 ROOM,STIRLING RESIDENCES,STIRLING ROAD,36,84.0,Apartment,2017,2025-09-01,Condo / Private Apartment
"Queenstown, Tiong Bahru",4 ROOM,ARTRA,ALEXANDRA VIEW,36,97.0,Apartment,2016,2025-09-01,Condo / Private Apartment
"Telok Blangah, Harbourfront",5 ROOM,SKYLINE RESIDENCES,TELOK BLANGAH ROAD,21,120.0,Condominium,Freehold,2025-09-01,Condo / Private Apartment
"Queenstown, Tiong Bahru",1 ROOM,ALEXIS,ALEXANDRA ROAD,06,36.0,Apartment,Freehold,2025-09-01,Condo / Private Apartment
"Pasir Panjang, Hong Leong Garden, Clementi New Town",2 ROOM,WHISTLER GRAND,WEST COAST VALE,31,47.0,Apartment,2018,2025-09-01,Condo / Private Apartment
"Queenstown, Tiong Bahru",4 ROOM,ALEX RESIDENCES,ALEXANDRA VIEW,11,82.0,Apartment,2013,2025-09-01,Condo / Private Apartment
"Queenstown, Tiong Bahru",2 ROOM,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,21,46.0,Condominium,2014,2025-09-01,Condo / Private Apartment
"Raffles Place, Cecil, Marina, People's Park",3 ROOM,ONE SHENTON,SHENTON WAY,11,50.0,Apartment,2005,2025-09-01,Condo / Private Apartment
"Pasir Panjang, Hong Leong Garden, Clementi New Town",2 ROOM,PARC RIVIERA,WEST COAST VALE,21,43.0,Condominium,2015,2025-09-01,Condo / Private Apartment
"Pasir Panjang, Hong Leong Garden, Clementi New Town",3 ROOM,SEAHILL,WEST COAST CRESCENT,06,51.0,Condominium,2011,2025-09-01,Condo / Private Apartment
"Telok Blangah, Harbourfront",MANSIONETTE,SEASCAPE,COVE WAY,06,201.0,Condominium,2007,2025-09-01,Condo / Private Apartment
"Telok Blangah, Harbourfront",EXECUTIVE,THE INTERLACE,DEPOT ROAD,01,188.0,Condominium,2009,2025-09-01,Condo / Private Apartment
"Pasir Panjang, Hong Leong Garden, Clementi New Town",EXECUTIVE,BOTANNIA,WEST COAST PARK,01,145.0,Condominium,1928,2025-09-01,Condo / Private Apartment
"Queenstown, Tiong Bahru",EXECUTIVE,ASCENTIA SKY,ALEXANDRA VIEW,26,137.0,Condominium,2008,2025-09-01,Condo / Private Apartment
"Pasir Panjang, Hong Leong Garden, Clementi New Town",2 ROOM,WHISTLER GRAND,WEST COAST VALE,11,47.0,Apartment,2018,2025-09-01,Condo / Private Apartment
"Queenstown, Tiong Bahru",3 ROOM,RIVER PLACE,HAVELOCK ROAD,01,74.0,Condominium,1995,2025-09-01,Condo / Private Apartment
"Pasir Panjang, Hong Leong Garden, Clementi New Town",5 ROOM,THE CLEMENT CANOPY,CLEMENTI AVENUE 1,36,125.0,Apartment,2016,2025-09-01,Condo / Private Apartment
"Queenstown, Tiong Bahru",3 ROOM,STIRLING RESIDENCES,STIRLING ROAD,31,58.0,Apartment,2017,2025-09-01,Condo / Private Apartment
"Queenstown, Tiong Bahru",3 ROOM,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,16,75.0,Condominium,2014,2025-09-01,Condo / Private Apartment
