address,dist_to_CBD_km_osrm
123 HOUGANG AVE 1,12.0019
551 WOODLANDS DR 44,25.234900000000003
90A TELOK BLANGAH ST 31,6.4773000000000005
327 SERANGOON AVE 3,10.48
805C KEAT HONG CL,22.1742
117 POTONG PASIR AVE 1,8.2021
604A TAMPINES AVE 9,16.562
301 HOUGANG AVE 5,14.638
796 YISHUN RING RD,20.9833
313B SUMANG LINK,19.2536
420 FAJAR RD,17.4928
447 BT PANJANG RING RD,17.0669
SERANGOON GARDEN ESTATE BODMIN DRIVE,12.102799999999998
MOONSTONE VIEW MOONSTONE LANE,6.8107
11 CHAI CHEE RD,11.4368
158A RIVERVALE CRES,16.6029
519B TAMPINES CTRL 8,16.421799999999998
JERVOIS JADE JERVOIS CLOSE,3.6003000000000003
301B PUNGGOL CTRL,18.4056
177 TOA PAYOH CTRL,10.3901
202A PUNGGOL FIELD,17.9154
106 HOUGANG AVE 1,11.8753
DUKE'S GARDEN PRINCESS OF WALES ROAD,8.538
FRANKEL ESTATE CHEVIOT HILL,12.318
151 YISHUN ST 11,22.514
LA FIESTA SENGKANG SQUARE,16.8922
72 GEYLANG BAHRU,6.494
180B RIVERVALE CRES,17.2715
123 MARSILING RISE,27.2345
190B RIVERVALE DR,17.662200000000002
11 HOLLAND DR,12.168299999999999
7 BOON KENG RD,5.345899999999999
342B YISHUN RING RD,20.9243
215 SERANGOON AVE 4,12.2684
ASTOR LENGKONG EMPAT,13.924700000000001
507 ANG MO KIO AVE 8,13.5115
33 GHIM MOH LINK,11.007700000000002
SELETAR HILLS ESTATE JALAN BANGAU,16.2779
233 SIMEI ST 4,16.7005
1 HAIG RD,7.5488
642 ROWELL RD,4.0054
48 BENDEMEER RD,6.6064
150 YISHUN ST 11,22.462
EAST COAST HILL SENNETT PLACE,13.595
578 ANG MO KIO AVE 10,12.5664
161 YUNG PING RD,18.637900000000002
ONEROBEY ROBEY CRESCENT,11.8994
5A MARSILING DR,23.3705
517 BEDOK NTH AVE 2,12.922600000000001
865 YISHUN ST 81,21.0263
38C BENDEMEER RD,6.8159
46 JLN BAHAGIA,6.9794
740 PASIR RIS ST 71,18.2439
407 BEDOK NTH AVE 3,13.8674
213 TAMPINES ST 23,17.177400000000002
53 PIPIT RD,8.284600000000001
14A LOR 7 TOA PAYOH,10.438
114 RIVERVALE WALK,15.6709
25 TECK WHYE LANE,21.8794
775 YISHUN RING RD,21.4498
530D PASIR RIS DR 1,18.939700000000002
10C BENDEMEER RD,5.4766
665 YISHUN AVE 4,21.671
COSTA DEL SOL BAYSHORE ROAD,12.764899999999999
194B BT BATOK WEST AVE 6,17.8578
PINEWOOD GARDENS BALMORAL PARK,5.7208000000000006
615 YISHUN RING RD,21.9734
HILLTOP GROVE HILLVIEW AVENUE,17.9965
8A UPP BOON KENG RD,5.3224
127A KIM TIAN RD,3.601
348 CLEMENTI AVE 5,12.7104
202 PETIR RD,15.5479
312A CLEMENTI AVE 4,13.827399999999999
637A PUNGGOL DR,18.41
THE COSMOPOLITAN KIM SENG ROAD,3.3562
THE SEA VIEW AMBER ROAD,8.803799999999999
LANDED HOUSING DEVELOPMENT BOSCOMBE ROAD,7.485
133 EDGEDALE PLAINS,17.9145
441A FERNVALE RD,16.649099999999997
289D PUNGGOL PL,18.2099
673A CHOA CHU KANG CRES,22.307299999999998
663 CHOA CHU KANG CRES,22.305
188C BEDOK NTH ST 4,14.2823
101 ALJUNIED CRES,7.0735
614 SENJA RD,17.838099999999997
111A DEPOT RD,6.1036
286A COMPASSVALE CRES,18.2942
399 YISHUN AVE 6,20.4273
MI CASA CHOA CHU KANG AVENUE 3,20.9255
346 BT BATOK ST 34,19.1236
473B UPP SERANGOON CRES,13.618799999999998
277B COMPASSVALE LINK,16.354
676A JURONG WEST ST 64,22.232200000000002
118 SERANGOON NTH AVE 1,13.693100000000001
443B FERNVALE RD,16.3699
44 BEDOK STH RD,13.796100000000001
232C SUMANG LANE,19.3944
605A TAMPINES ST 61,16.3108
THE RIVERINA RIVERINA CRESCENT,19.5624
290 BISHAN ST 24,12.382200000000001
603 ANG MO KIO AVE 5,14.687
619 HOUGANG AVE 8,15.2057
29A CHAI CHEE AVE,11.161299999999999
1E CANTONMENT RD,2.0721999999999996
650 JLN TENAGA,10.6448
GOLDENHILL PARK CONDOMINIUM MEI HWAN DRIVE,11.436
424B YISHUN AVE 11,20.197200000000002
507 WOODLANDS DR 14,26.1223
474 ANG MO KIO AVE 10,11.2524
PALM GREEN PASIR PANJANG ROAD,10.829799999999999
RV POINT RIVER VALLEY ROAD,1.9145
490C CHOA CHU KANG AVE 5,22.073
479 PASIR RIS DR 4,20.642400000000002
D'WEAVE LORONG 39 GEYLANG,7.325399999999999
79B TOA PAYOH CTRL,9.0533
696 JURONG WEST CTRL 1,20.9515
442A BT BATOK WEST AVE 8,18.9879
43 TELOK BLANGAH RISE,4.4336
543 SERANGOON NTH AVE 3,13.736600000000001
662C JURONG WEST ST 64,22.2439
667A PUNGGOL DR,19.1665
807B CHOA CHU KANG AVE 1,21.7675
59A GEYLANG BAHRU,6.4207
635 JURONG WEST ST 65,22.779400000000003
4 BEDOK STH AVE 1,13.3106
368 BT BATOK ST 31,18.5917
573 HOUGANG ST 51,15.523299999999999
512 BEDOK NTH AVE 2,13.385299999999999
167 HOUGANG AVE 1,11.5903
710 BEDOK RESERVOIR RD,13.017299999999999
546C SEGAR RD,17.6753
141 LOR AH SOO,11.6636
717A WOODLANDS DR 70,26.63
635 ANG MO KIO AVE 6,14.0146
440A BT BATOK WEST AVE 8,18.7183
590B ANG MO KIO ST 51,13.0615
146 MEI LING ST,7.338100000000001
203 MARSILING DR,24.1621
491B TAMPINES AVE 9,17.7802
244 BT PANJANG RING RD,16.5299
104 WOODLANDS ST 13,26.91
RIVERTREES RESIDENCES FERNVALE CLOSE,17.6073
184C RIVERVALE CRES,17.2509
SING LIAN BUILDING CHANGI ROAD,9.8656
388 BT BATOK WEST AVE 5,19.491400000000002
131B LOR 1 TOA PAYOH,8.674100000000001
817C KEAT HONG LINK,22.387400000000003
THE ANCHORAGE ALEXANDRA ROAD,6.9921999999999995
764 JURONG WEST ST 74,22.645599999999998
157C RIVERVALE CRES,16.4254
FLO RESIDENCE PUNGGOL FIELD WALK,17.0847
ALTEZ ENGGOR STREET,2.262
324 HOUGANG AVE 5,14.3611
184B RIVERVALE CRES,17.1341
COSY 23 LORONG 30 GEYLANG,6.2838
440 YISHUN AVE 11,20.6459
543 BEDOK NTH ST 3,13.0281
879 TAMPINES AVE 8,14.606
214 ANG MO KIO AVE 3,13.293700000000001
612 WOODLANDS AVE 4,26.3993
236 BT BATOK EAST AVE 5,16.9043
533 BT PANJANG RING RD,18.0716
263 TOA PAYOH EAST,9.837299999999999
907 TAMPINES AVE 4,16.3935
477 SEGAR RD,17.5493
SEASIDE RESIDENCES SIGLAP LINK,11.283
305B PUNGGOL RD,18.317
311 UBI AVE 1,10.1404
168C SIMEI LANE,17.1822
185 PASIR RIS ST 11,19.367099999999997
WING FONG COURT LORONG 14 GEYLANG,5.533399999999999
584 WOODLANDS DR 16,24.8469
SEMBAWANG PARK JALAN MATA AYER,22.0478
458A SENGKANG WEST RD,16.1186
LITTLE INDIA CONSERVATION AREA SERANGOON ROAD,3.5855
VERSILIA ON HAIG IPOH LANE,7.4749
413 SEMBAWANG DR,25.479
LANDED HOUSING DEVELOPMENT LENGKONG EMPAT,10.5244
28B DOVER CRES,10.1394
125 PENDING RD,16.6264
126 BISHAN ST 12,11.532399999999999
113 LOR 1 TOA PAYOH,8.913200000000002
165B PUNGGOL CTRL,17.3292
BULLION PARK LENTOR LOOP,17.2989
306B ANCHORVALE LINK,16.845
805D KEAT HONG CL,22.1968
39 BEDOK STH RD,13.698
201 ANG MO KIO AVE 3,12.8119
106A BIDADARI PK DR,8.0444
317 WOODLANDS ST 31,23.5054
215B COMPASSVALE DR,16.9024
38A BENDEMEER RD,6.9966
TRILIVE TAMPINES ROAD,11.8887
26 TECK WHYE LANE,21.9275
199C PUNGGOL FIELD,17.945400000000003
277D COMPASSVALE LINK,16.426
658B JURONG WEST ST 65,22.012900000000002
99 WHAMPOA DR,6.3708
288C COMPASSVALE CRES,18.3172
115 LOR 1 TOA PAYOH,8.9296
HOLLAND GROVE PARK HOLLAND GROVE DRIVE,12.6593
298C COMPASSVALE ST,18.0637
LANDED HOUSING DEVELOPMENT ELITE TERRACE,12.1929
127C KIM TIAN RD,3.6494
682 CHOA CHU KANG CRES,22.1677
297A COMPASSVALE ST,17.9285
FRANKEL ESTATE BOWMONT GARDENS,12.037
606B TAMPINES ST 61,16.3339
30 BALAM RD,8.5706
96 WHAMPOA DR,7.0459
414 CHOA CHU KANG AVE 4,21.475
232 HOUGANG AVE 1,12.2005
550 ANG MO KIO AVE 10,12.6917
434 HOUGANG AVE 8,13.5815
22 SIN MING RD,12.9641
108B MCNAIR RD,5.4937
